1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,12.8,12.8,12.8,12.4,12.4,12,12,12,12,11.9,11.8,11.7,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.5,11.5,11.5,11.5,11.4,11.4,11.4,11.3,11.3,11.3,11.3,11.3,11.3,11.2,11.2,11.2,11.2,11.1,11.1,11.1,11,11,11,11,11,10.8,10.8,10.8,11.01,10.88,10.88,10.88,10.88,10.88,10.88,10.79,10.76,10.76,10.76,10.76,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,26.8,26.2,26.2,26,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.4,23.4,23.4,23.4,23.2,23.2,23.2,23.2,22.9,22.9,22.9,22.9,22.9,22.7,22.7,22.7,22.5,22.5,22.4,22.4,22.4,22.1,22.21,22.21,22.21,22.21,22.06,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.71,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34,21.34
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,53.6,53.4,53.4,53.4,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.7,51,51,51,51,50.14,50.14,49.29,49.29,48.94,48.6,48.6,48.6,48.16,47.99,47.99,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6,47.6
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.6,146.6,146.6,146.6,146.6,143.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,135.9,133.8,133.8,133.8,133.8,133.8,133,132,128.5,127.3,126.6,125,125,125,125,125,124.3,124.3,121.2,121.2,121.1,121.1,121.1,121,120.5,120.5,120.5,118.5,118.5,117.5,117.5,117.5,114.9,114.9,114.9,114.9,113.43,113.43,113.43,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28,113.28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255.6,255.6,250.7,250.7,249.6,241.4,241.4,241.4,241.4,236,236,236,236,232.47,232.47,232.47,232.47,232.47,232.47,232.47,232.47,232.47,232.47,232.47,232.47,232.47,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.46,230.07,230.07,230.07,230.07,230.07,230.07,230.07,230.07,229.11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267,267,276.8,276.8,275.3,275.3,269.5,269.5,269.5,269.5,263.8,263.8,262.1,261.7,260.89,257.44,257.44,257.44,256.71,256.71,256.71,256.71,255.61,255.61,255.61,255.61,255.61,255.61,255.61,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.56,252.33,252.33,252.33,252.33,247.64
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532.8,526.6,507.2,507.2,507.2,507.2,507.2,507.2,506.78,506.78,502.62,502.62,502.62,502.62,502.62,502.62,502.62,502.62,502.62,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11,486.11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914.51,908.26,908.26,898.89,888.07,877.33,877.33,877.33,877.33,877.33,877.33,877.33,877.33,877.33,876.45,876.45,868.09,868.09,868.09,868.09,868.09,868.09,868.09,864.68,864.68,864.53,856.63,851.15,851.15,851.15,851.15,851.15,851.15,851.15,851.15,851.15,851.15,851.15,851.15,846.62,846.62,846.62,840.21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937.2,1895.3,1887.58,1873.78,1859.42,1813.74,1813.74,1813.74,1813.74,1813.74,1813.74,1813.74,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1771.78,1757.45,1757.45,1757.45,1757.45,1757.45,1741.03,1741.03,1741.03
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4558,4444,4439,4276,4197,4154,4114,4114,4114,4000,4000,4112,4112,4079,4079,4079,4079,4078,4078,4056,4049,4004,4004,4004,4004,4004,4004,4004,4004,3985,3985,3985,3985,3950,3950,3950,3912,3909,3909,3891,3971,3971,3916,3772,3772,3772
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13027,11973,11973,11973,11246,11246,11246,10973,10522,10180,9996,9834,9499,9499,9287,9149,8852,8741,8729,8729,8563,8563,8466,8466,8466,8466,8466,8466,8466,8466,8466,8466,8466,8466,8466,8447,8443,8443,8327,8238,8125,8125,8125,8125,8125,8125,8125,8125,8125,8125,8125,8125,8125,8125,8125,8125,8044,8044,8044,8044,7913